ds,snippet,sentiment
1994-04-22,,"{'label': 'POSITIVE', 'score': 0.7481210231781006}"
2014-09-09,"Timothy D. Cook, Apple’s chief executive, introduced a smartwatch, a wearable device that combines health and fitness tracking with communications.","{'label': 'POSITIVE', 'score': 0.8678098320960999}"
2015-06-17,"Many of the 3,500 available apps showcase the capabilities of the Apple Watch. Here are just a few that show off what our wearable tech can do.","{'label': 'NEGATIVE', 'score': 0.6856922507286072}"
2014-05-29,Apple makes the largest acquisition in its history. What buying Beats means for the company and for you.,"{'label': 'POSITIVE', 'score': 0.9995535016059875}"
2016-02-19,"Cyrus R. Vance Jr., the Manhattan district attorney, called Apple and Google the ""wild west"" of technology on Friday.","{'label': 'POSITIVE', 'score': 0.9633125066757202}"
2014-10-30,"In a speech on Oct. 27, Timothy D. Cook, Apple’s chief executive, urged his home state of Alabama to move faster on ensuring equality for all.","{'label': 'POSITIVE', 'score': 0.9813297390937805}"
2015-09-09,"In San Francisco, Apple’s chief executive, Timothy D. Cook, called the new iPhone 6s and 6s Plus “the most advanced smartphones in the world.”","{'label': 'POSITIVE', 'score': 0.9991057515144348}"
2016-09-07,"Apple announced the release of its newest smartphone, the iPhone 7. The new model replaces its headphone jack with  a Lightning connector and includes an improved camera.","{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2015-03-09,"Timothy D. Cook, Apple’s chief executive, introduced the Apple Watch, an edition of which is made of 18-karat gold and retails starting at $10,000.","{'label': 'POSITIVE', 'score': 0.9416895508766174}"
2016-03-21,"The chief executive of Apple, Timothy D. Cook, said that the company did not expect to be at odds with the government over iPhone encryption, but that it would not back down.","{'label': 'POSITIVE', 'score': 0.9714395403862}"
2016-09-02,Residents in South Korea were concerned about their personal devices as well as the image of the company after Samsung recalled more than 2.5 million phones Friday.,"{'label': 'NEGATIVE', 'score': 0.9880883097648621}"
2015-06-03,"There are plenty of great streaming music services that you can already try, often for free, and while the big players are jockeying to dominate the market, now is a great time to experiment.","{'label': 'POSITIVE', 'score': 0.9997267127037048}"
2015-06-09,"Apple’s chief executive, Timothy D. Cook, and its head of software and internet services, Eddy Cue, announced the company’s new music streaming service on Monday in San Francisco.","{'label': 'POSITIVE', 'score': 0.9898884892463684}"
2016-04-22,"James B. Comey Jr., the F.B.I. director, spoke in London on Thursday about breaking into the San Bernadino shooter’s iPhone, disclosing that bureau chiefs paid “a lot” to bypass the phone’s encryption.","{'label': 'NEGATIVE', 'score': 0.9834575653076172}"
2016-03-04,"Zeid Ra'ad al-Hussein, the United Nations high commissioner for human rights, warned that forcing Apple to unlock an encrypted iPhone could “risk unlocking a Pandora’s box.”","{'label': 'NEGATIVE', 'score': 0.9976008534431458}"
2016-02-23,"Apple has resisted the federal government's attempts to compel it to decrypt the phone of the San Bernardino, Calif., gunman. Bill Gates, Microsoft's founder, has said that this has sparked an important debate.","{'label': 'POSITIVE', 'score': 0.9923369288444519}"
2014-04-23,"Also on the Minute, Syria’s humanitarian crisis, and the risks people take to find their iPhones.","{'label': 'POSITIVE', 'score': 0.9806775450706482}"
2011-04-19,A video appeared online Tuesday that shows a new type of multitasking feature for the Apple iPhone iOS.,"{'label': 'NEGATIVE', 'score': 0.961132824420929}"
2010-04-05,"The reading list includes iPads, of course, and also smartphones and Facebook.","{'label': 'POSITIVE', 'score': 0.6836418509483337}"
2007-04-24,,"{'label': 'POSITIVE', 'score': 0.7481210231781006}"
